"Entry Id","Sports (e.g. Baseball, Football, ...)","Crime Data (e.g. FBI Database)","Health - fitness","Health - diseases","Movies (e.g. ratings, box office revenues, ...)","Climate/Environment/Weather","Traveling (e.g. flight delays, tarmac waits, airport performance, ...)","Environmental Data (e.g. pollution, fuel economy, CO2 emissions, ...)","Salaries - economics, financial data","Global issues: comparison across countries","Other topic(s)","Description","Date Created","Created By","Last Updated","Updated By","IP Address","Last Page Accessed","Completion Status"
"658","Like it very much","Favorite","Like it very much","Like it","Don't like it that much","Like it","Like it very much","Like it","Don't like it that much","Don't like it that much","","","2020-08-17 08:24:38","public","","","129.186.253.120","1","1"
"659","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Transportation Data ","https://data.world/datasets/transportation","2020-08-17 14:57:22","public","","","129.186.253.101","1","1"
"660","Don't like it that much","Favorite","Favorite","Favorite","Like it","Favorite","Favorite","Favorite","Favorite","Favorite","Natural language processing","My research is on integrated weed management. Among all the available definitions of weed, I would use ""a plant out of place"" to define it. I expect that the extension documents are written in a neutral tone. From time to time, I saw documents that refer to weeds as human enemies, which offers a sense of negativity. I'd like to see if the extension documents are neutral-tone, and if they are not, how to visualize the results in the most eye-catchy way. 
I understand that finding enough data and compiling them into a workable dataset would be very time-consuming. So my next question is how to do this data collection and wrangling the most effectively and efficiently. ","2020-08-17 18:58:03","public","","","173.24.204.89","1","1"
"661","Like it","Like it very much","Like it very much","Favorite","Don't like it that much","Like it very much","Like it","Like it very much","Like it very much","Like it very much","","","2020-08-18 06:55:23","public","","","69.5.152.161","1","1"
"662","Don't like it that much","Like it","Like it very much","Like it","Favorite","Like it very much","Favorite","Favorite","Like it very much","Like it very much","","","2020-08-18 09:22:53","public","","","69.5.141.1","1","1"
"663","Like it","Like it","Like it","Like it very much","Like it","Favorite","Like it","Favorite","Like it","Favorite","","","2020-08-18 10:12:25","public","","","129.186.251.33","1","1"
"664","Favorite","Like it very much","Like it","Like it","Like it","Favorite","Like it","Like it","Like it very much","Like it very much","","","2020-08-18 10:57:31","public","","","129.186.251.52","1","1"
"665","Don't like it that much","Favorite","Like it very much","Like it very much","Like it","Like it","Favorite","Like it","Favorite","Favorite","","","2020-08-18 10:57:38","public","","","69.5.131.33","1","1"
"666","Like it very much","Favorite","Like it","Like it very much","Like it very much","Don't like it that much","Don't like it that much","Like it very much","Like it","Favorite","","","2020-08-18 10:58:13","public","","","129.186.252.49","1","1"
"667","Like it very much","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","","","2020-08-18 10:59:04","public","","","129.122.16.32","1","1"
"668","Don't like it that much","Don't like it that much","Don't like it that much","Like it","Don't like it that much","Like it very much","Don't like it that much","Like it very much","Don't like it that much","Like it very much","","","2020-08-18 10:59:45","public","","","205.237.161.97","1","1"
"669","Don't like it that much","Like it","Like it very much","Like it","Favorite","Like it very much","Like it very much","Favorite","Don't like it that much","Like it","Education","I'm not sure if there are data sources that are publically available, but perhaps looking at test scores versus demographics?","2020-08-18 11:00:13","public","","","69.5.141.1","1","1"
"670","Don't like it that much","Like it","Like it","Favorite","Like it","Like it very much","Don't like it that much","Favorite","Don't like it that much","Like it","Natural Resources","Wildlife, plants, etc.","2020-08-18 11:00:47","public","","","69.5.155.193","1","1"
"671","Like it","Like it very much","Favorite","Favorite","Like it","Favorite","Favorite","Favorite","Favorite","Favorite","","","2020-08-18 11:01:15","public","","","129.186.248.21","1","1"
"672","Favorite","Like it very much","Don't like it that much","Don't like it that much","Don't like it that much","Favorite","Like it very much","Don't like it that much","Favorite","Don't like it that much","","","2020-08-18 11:01:27","public","","","69.5.155.193","1","1"
"673","Favorite","Like it","Like it very much","Like it very much","Like it very much","Don't like it that much","Like it","Like it very much","Like it very much","Favorite","","","2020-08-18 11:01:33","public","","","69.5.140.29","1","1"
"674","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Transportation ","https://www.transportation.gov/data","2020-08-18 11:01:36","public","","","129.186.253.101","1","1"
"675","Don't like it that much","Don't like it that much","Favorite","Don't like it that much","Don't like it that much","Favorite","Like it","Favorite","Like it","Favorite","","","2020-08-18 11:01:42","public","","","129.186.251.169","1","1"
"676","Favorite","Like it very much","Favorite","Like it","Don't like it that much","Like it very much","Favorite","Favorite","Favorite","Favorite","Marketing ","I would like to make analysis with stock price. And I also would like to study machine learning with R","2020-08-18 11:02:33","public","","","173.19.136.31","1","1"
"677","Don't like it that much","Favorite","Favorite","Like it very much","Don't like it that much","Like it","Like it","Like it","Like it","Favorite","Anything COVID related including comparisons with other countries, socio economic status etc","","2020-08-18 11:02:47","public","","","75.162.124.180","1","1"
"678","Don't like it that much","Like it very much","Like it very much","Like it very much","Don't like it that much","Favorite","Favorite","Favorite","Favorite","Favorite","","","2020-08-18 11:03:08","public","","","206.127.177.97","1","1"
"679","Favorite","Don't like it that much","Like it","Like it","Like it","Like it very much","Don't like it that much","Like it","Like it very much","Like it very much","","","2020-08-19 06:13:02","public","","","69.5.146.33","1","1"
"680","Favorite","Like it very much","Favorite","Like it very much","Like it very much","Like it very much","Like it","Like it very much","Like it","Like it very much","","I love baseball research and development, but honestly I enjoy just tinkering around with most datasets. ","2020-08-20 07:53:55","public","","","69.5.133.161","1","1"
"681","Like it","Don't like it that much","Favorite","Favorite","Like it","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Like it","","","2020-08-20 10:11:57","public","","","129.186.248.61","1","1"
"682","Like it very much","Like it","Like it very much","Like it very much","Like it","Like it","Like it","Like it","Don't like it that much","Don't like it that much","","","2020-08-20 10:54:27","public","","","69.5.152.129","1","1"
"683","Don't like it that much","Don't like it that much","Don't like it that much","Like it very much","Don't like it that much","Like it very much","Don't like it that much","Like it very much","Favorite","Favorite","","","2020-08-20 10:55:17","public","","","69.5.141.1","1","1"
"684","Like it very much","Don't like it that much","Like it very much","Like it","Like it","Favorite","Don't like it that much","Like it very much","Like it very much","Like it","","","2020-08-20 10:55:35","public","","","69.5.146.33","1","1"
"685","Don't like it that much","Don't like it that much","Favorite","Favorite","Don't like it that much","Don't like it that much","Like it","Favorite","Like it","Favorite","microbiota composition","For example, relative abundance of bacteria within and between samples.","2020-08-20 10:56:03","public","","","129.186.252.213","1","1"
"686","Favorite","Like it very much","Favorite","Favorite","Like it","Like it","Like it","Don't like it that much","Like it","Like it very much","","","2020-08-20 10:56:22","public","","","69.5.140.29","1","1"
"687","Don't like it that much","Like it","Like it very much","Like it very much","Don't like it that much","Favorite","Like it very much","Favorite","Like it very much","Favorite","","","2020-08-20 10:59:03","public","","","173.18.195.85","1","1"
"688","Like it","Like it very much","Favorite","Favorite","Don't like it that much","Like it","Like it","Like it very much","Like it","Like it","","","2020-08-20 10:59:38","public","","","69.5.152.161","1","1"
