Entry Id,Date Created,Created By,Date Updated,Updated By,IP Address,Last Page Accessed,Completion Status,"Sports (e.g. Baseball, Football, ...)",Crime Data (e.g. FBI Database),Health - fitness,"Movies (e.g. ratings, box office revenues, ...)",Climate/Environment/Weather,"Traveling (e.g. flight delays, tarmac waits, airport performance, ...)",Health - diseases,"Environmental Data (e.g. pollution, fuel economy, CO2 emissions, ...)","Salaries - economics, financial data",Global issues: comparison across countries,Other topic(s),Description
764,8/31/23 11:18,public,,,129.186.192.210,1,1,Like it,Like it,Like it very much,Like it very much,Like it,Don't like it that much,Like it,Don't like it that much,Like it very much,Don't like it that much,,
763,8/31/23 11:18,public,,,129.186.192.158,1,1,Like it,Favorite,Favorite,Like it,Don't like it that much,Favorite,Favorite,Favorite,Favorite,Favorite,,
762,8/31/23 11:17,public,,,129.186.251.8,1,1,Like it very much,Don't like it that much,Like it,Like it,Like it,Like it,Like it,Like it,Like it very much,Like it,,
761,8/31/23 11:17,public,,,129.186.192.148,1,1,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,Favorite,,
760,8/31/23 11:17,public,,,129.186.251.156,1,1,Like it,Like it very much,Favorite,Like it,Favorite,Like it,Favorite,Favorite,Favorite,Favorite,Genomic data ,Genomic data containing data on the DNA sequences of organisms 
759,8/31/23 11:16,public,,,129.186.252.185,1,1,Like it very much,Like it,Like it,Like it,Like it,Like it,Like it,Like it,Like it,Like it,,I like the soccer and esports data.
758,8/31/23 11:16,public,,,129.186.192.168,1,1,Favorite,Favorite,Like it very much,Favorite,Favorite,Favorite,Like it very much,Favorite,Favorite,Favorite,,
757,8/31/23 11:15,public,,,129.186.251.156,1,1,Favorite,Like it very much,Favorite,Like it very much,Like it,Like it,Like it,Like it very much,Favorite,Favorite,,
756,8/31/23 11:15,public,,,129.186.251.156,1,1,Don't like it that much,Like it,Favorite,Don't like it that much,Like it very much,Like it,Like it very much,Favorite,Like it,Like it very much,,
755,8/31/23 11:15,public,,,129.186.192.246,1,1,Like it,Like it very much,Favorite,Favorite,Like it very much,Favorite,Favorite,Favorite,Favorite,Favorite,,
754,8/31/23 8:44,public,,,173.18.195.110,1,1,Don't like it that much,Like it very much,Like it very much,Don't like it that much,Like it very much,Don't like it that much,Like it very much,Like it very much,Don't like it that much,Like it very much,,
753,8/29/23 11:29,public,,,129.186.251.156,1,1,Like it very much,Don't like it that much,Like it,Like it very much,Like it,Favorite,Don't like it that much,Like it very much,Like it,Favorite,education,"Online learning data would be useful if there is any publicly available dataset. Would be related to learner characteristics, LMSs, and such. "
752,8/29/23 11:29,public,,,129.186.192.232,1,1,Like it very much,Favorite,Don't like it that much,Favorite,Like it very much,Favorite,Don't like it that much,Like it,Like it,Don't like it that much,,
751,8/29/23 11:29,public,,,129.186.194.154,1,1,Favorite,Like it very much,Favorite,Like it very much,Favorite,Like it,Favorite,Favorite,Like it very much,Favorite,Agriculture,"May be like seed, pesticides usage etc"
750,8/29/23 11:29,public,,,129.186.192.176,1,1,Like it,Favorite,Like it,Like it,Like it very much,Like it very much,Like it,Favorite,Like it,Favorite,,
749,8/29/23 11:28,public,,,129.186.192.184,1,1,Don't like it that much,Like it,Don't like it that much,Don't like it that much,Favorite,Don't like it that much,Favorite,Favorite,Don't like it that much,Favorite,"Education data, Chemistry, Science",
748,8/29/23 11:28,public,,,129.186.251.156,1,1,Like it,Favorite,Like it very much,Don't like it that much,Don't like it that much,Don't like it that much,Don't like it that much,Don't like it that much,Don't like it that much,Like it,health: sleep; police practices,"Broadly my research focuses are in psychology and law. More specifically sleep, circadian rhythm, disclosure, personality, deception detection, and investigative interviewing."
747,8/29/23 11:28,public,,,129.186.192.180,1,1,Like it,Favorite,Favorite,Like it,Like it very much,Favorite,Favorite,Favorite,Like it very much,Favorite,accidents,
746,8/29/23 11:28,public,,,129.186.251.8,1,1,Favorite,Favorite,Like it,Like it,Favorite,Like it very much,Like it,Favorite,Like it,Favorite,,
