"","Entry.Id","Sports..e.g..Baseball..Football......","Crime.Data..e.g..FBI.Database.","Health...fitness","Health...diseases","Movies..e.g..ratings..box.office.revenues......","Climate.Environment.Weather","Traveling..e.g..flight.delays..tarmac.waits..airport.performance......","Environmental.Data..e.g..pollution..fuel.economy..CO2.emissions......","Salaries...economics..financial.data","Global.issues..comparison.across.countries","Other.topic.s.","Description","Date.Created","Created.By","Last.Updated","Updated.By","IP.Address","Last.Page.Accessed","Completion.Status"
"1",498,"Don't like it that much","Favorite","Like it","Favorite","Like it","Favorite","Like it","Like it very much","Like it","Like it","","","2018-01-09 08:16:35","public",NA,NA,"129.186.253.142",1,1
"2",499,"Favorite","Like it very much","Favorite","Favorite","Favorite","Like it","Like it","Like it","Favorite","Like it","","","2018-01-09 08:16:56","public",NA,NA,"129.186.253.202",1,1
"3",500,"Like it","Don't like it that much","Like it","Like it very much","Don't like it that much","Like it very much","Like it","Favorite","Favorite","Favorite","","","2018-01-09 08:17:11","public",NA,NA,"129.186.253.202",1,1
"4",501,"Favorite","Like it very much","Favorite","Like it","Like it","Don't like it that much","Like it very much","Don't like it that much","Favorite","Like it","","","2018-01-09 08:19:11","public",NA,NA,"129.186.253.202",1,1
"5",502,"Like it","Like it","Like it very much","Like it very much","Like it","Like it","Like it","Like it very much","Favorite","Favorite","","","2018-01-09 08:20:24","public",NA,NA,"129.186.253.142",1,1
"6",503,"Don't like it that much","Favorite","Like it","Like it","Like it","Don't like it that much","Like it","Favorite","Favorite","Favorite","","","2018-01-09 08:20:25","public",NA,NA,"129.186.253.202",1,1
"7",504,"Favorite","Don't like it that much","Favorite","Don't like it that much","Favorite","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","","","2018-01-09 08:20:28","public",NA,NA,"129.186.253.202",1,1
"8",505,"Don't like it that much","Like it","Like it very much","Like it","Like it very much","Like it very much","Like it","Don't like it that much","Like it very much","Like it","Education ","GPA, prestige of institution, year in school, socioeconomic status ","2018-01-09 08:20:38","public",NA,NA,"129.186.251.172",1,1
"9",506,"Don't like it that much","Favorite","Favorite","Like it very much","Favorite","Like it","Favorite","Like it","Favorite","Like it","","","2018-01-09 08:20:40","public",NA,NA,"129.186.253.202",1,1
"10",507,"Like it very much","Favorite","Don't like it that much","Favorite","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","","","2018-01-09 08:20:41","public",NA,NA,"129.186.251.21",1,1
"11",508,"Don't like it that much","Favorite","Like it very much","Like it very much","Favorite","Like it","Don't like it that much","Favorite","Don't like it that much","Favorite","","","2018-01-09 08:20:42","public",NA,NA,"129.186.253.202",1,1
