"Entry Id","Sports (e.g. Baseball, Football, ...)","Crime Data (e.g. FBI Database)","Health - fitness","Health - diseases","Movies (e.g. ratings, box office revenues, ...)","Climate/Environment/Weather","Traveling (e.g. flight delays, tarmac waits, airport performance, ...)","Environmental Data (e.g. pollution, fuel economy, CO2 emissions, ...)","Salaries - economics, financial data","Global issues: comparison across countries","Other topic(s)","Description","Date Created","Created By","Last Updated","Updated By","IP Address","Last Page Accessed","Completion Status"
"566","Favorite","Like it","Like it very much","Don't like it that much","Favorite","Favorite","Favorite","Favorite","Like it","Favorite","","","2018-08-21 09:45:07","public","","","129.186.251.31","1","1"
"567","Don't like it that much","Like it very much","Like it","Favorite","Like it very much","Like it","Favorite","Like it very much","Like it","Like it very much","","","2018-08-21 10:19:08","public","","","129.186.252.53","1","1"
"568","Favorite","Favorite","Favorite","Favorite","Favorite","Like it","Like it","Like it","Favorite","Favorite","","","2018-08-21 10:39:22","public","","","129.186.251.31","1","1"
"569","Favorite","Like it","Like it","Like it","Don't like it that much","Like it","Don't like it that much","Don't like it that much","Like it","Don't like it that much","","","2018-08-21 10:39:43","public","","","129.186.252.53","1","1"
"570","Don't like it that much","Like it","Like it","Like it","Favorite","Favorite","Favorite","Like it very much","Favorite","Favorite","","","2018-08-21 10:41:15","public","","","129.186.248.26","1","1"
"571","Favorite","Like it","Like it","Like it very much","Don't like it that much","Like it","Like it","Don't like it that much","Like it very much","Don't like it that much","Agriculture","Field yield to different treatments applied. Weather patterns affecting field.","2018-08-21 10:41:44","public","","","129.186.252.53","1","1"
"572","Like it","Like it","Favorite","Favorite","Like it","Like it very much","Like it","Favorite","Don't like it that much","Like it very much","","","2018-08-21 10:42:02","public","","","129.186.251.31","1","1"
"573","Favorite","Favorite","Favorite","Favorite","Don't like it that much","Favorite","Like it","Favorite","Favorite","Favorite","","","2018-08-21 10:42:04","public","","","129.186.251.31","1","1"
"574","Like it","Like it very much","Don't like it that much","Don't like it that much","Favorite","Don't like it that much","Favorite","Don't like it that much","Favorite","Favorite","","","2018-08-21 10:42:21","public","","","129.186.252.53","1","1"
"575","Like it","Like it","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","genomics data, gene expression data ","","2018-08-21 10:42:38","public","","","129.186.251.31","1","1"
"576","Like it","Like it","Like it","Like it","Like it","Like it","Favorite","Like it very much","Like it","Like it","","","2018-08-21 10:42:40","public","","","129.186.252.53","1","1"
"577","Favorite","Like it very much","Favorite","Don't like it that much","Like it very much","Favorite","Like it very much","Favorite","Like it","Like it","","","2018-08-21 10:42:47","public","","","129.186.252.53","1","1"
"578","Like it","Like it","Like it","Don't like it that much","Like it","Like it","Like it very much","Like it","Like it","Like it","","","2018-08-21 10:43:06","public","","","129.186.252.53","1","1"
"579","Don't like it that much","Like it","Like it","Like it very much","Don't like it that much","Don't like it that much","Don't like it that much","Like it","Like it","Like it","Genomic data, NCBI, gene data","There are multiple databases that have genomic data. Annotation, function, position, gene, isoforms, expression data.

I suggest databases as NCBI, Ensembl, etc","2018-08-21 10:43:07","public","","","129.186.252.53","1","1"
"580","Like it very much","Like it very much","Don't like it that much","Don't like it that much","Like it very much","Favorite","Like it very much","Like it very much","Don't like it that much","Don't like it that much","sustainibility","","2018-08-21 10:43:10","public","","","129.186.252.53","1","1"
"581","Favorite","Like it","Like it","Like it","Like it","Like it very much","Don't like it that much","Like it","Like it very much","Favorite","","","2018-08-21 10:43:16","public","","","129.186.252.53","1","1"
"582","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Favorite","Favorite","Favorite","Don't like it that much","Favorite","Human Behavior","The relationships between customer satisfaction, attitude etc. and human behavior.","2018-08-21 10:43:18","public","","","129.186.251.31","1","1"
"583","Like it","Favorite","Favorite","Favorite","Like it","Like it","Like it","Like it very much","Like it very much","Don't like it that much","","","2018-08-21 10:43:45","public","","","129.186.251.5","1","1"
"584","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Transportation","Accident data, roadway geometric data, driver speed data (time series), etc. Iowa DOT has GIMS data for roads and also crash data for last 10 years in details and all data is geolocated. I am working on multiple projects that uses time series traces of drivers in multiple road segments.","2018-08-21 10:43:54","public","","","129.186.252.53","1","1"
"585","Don't like it that much","Like it","Don't like it that much","Don't like it that much","Like it","Like it","Don't like it that much","Like it","Like it very much","Like it very much","Social media","Metrics and interactions from social media (Facebook and Twitter, mainly). Data from Pew Research Center, Knight Foundation, academia and media outlets (Buzzfeed News, and others). ","2018-08-21 10:44:07","public","","","129.186.251.23","1","1"
"586","Like it","Like it","Like it","Like it","Like it","Like it very much","Like it","Like it very much","Like it very much","Like it very much","phenotypic data ","Data coming from high throughput (HTP) phenotyping of crops","2018-08-21 10:44:41","public","","","129.186.248.26","1","1"
"587","Favorite","Like it","Favorite","Like it","Favorite","Like it very much","Favorite","Favorite","Favorite","Like it very much","Genum","Hi, first of all thank you so much for your warm and energetic session.
I am interested in Genum. In industrial engineering some projects are about Genum. I really like to learn how to work with this type of data.
Thanks a lot.
Regards","2018-08-21 10:44:52","public","","","129.186.252.53","1","1"
"588","Don't like it that much","Don't like it that much","Don't like it that much","Don't like it that much","Like it","Like it","Like it","Like it","Favorite","Favorite","Stock Market,Funds comparsion","I think stock and fund data can will be interesting to look at. I think the fund and stock data are public. ","2018-08-21 10:45:02","public","","","129.186.252.53","1","1"
"589","Don't like it that much","Like it","Like it","Like it","Don't like it that much","Like it","Don't like it that much","Don't like it that much","Like it","Don't like it that much","Transportation","Crash data (crash type), travel routes/demand, traffic/congestion data, bus routes and/or bike paths","2018-08-21 10:45:08","public","","","129.186.252.53","1","1"
"590","Favorite","Don't like it that much","Favorite","Favorite","Like it very much","Favorite","Favorite","Favorite","Favorite","Like it","","","2018-08-22 11:49:07","public","","","129.186.252.212","1","1"
"591","Favorite","Favorite","Favorite","Favorite","Like it","Favorite","Favorite","Favorite","Favorite","Like it","Veterinary data, Genetics ","","2018-08-23 09:26:12","public","","","129.186.252.186","1","1"
"592","Don't like it that much","Favorite","Favorite","Favorite","Like it very much","Like it very much","Favorite","Like it very much","Like it very much","Like it very much","","","2018-08-23 10:18:02","public","","","129.186.251.31","1","1"
"593","Favorite","Don't like it that much","Favorite","Favorite","Like it very much","Like it very much","Favorite","Favorite","Favorite","Like it","","","2018-08-23 10:45:42","public","","","129.186.252.53","1","1"
"594","Don't like it that much","Like it very much","Like it","Like it very much","Favorite","Like it very much","Like it","Don't like it that much","Don't like it that much","Like it very much","","","2018-08-23 10:45:58","public","","","129.186.252.53","1","1"
"595","Favorite","Favorite","Like it","Like it","Like it very much","Like it very much","Like it","Like it very much","Like it","Like it","","","2018-08-23 10:46:06","public","","","129.186.252.53","1","1"
"596","Like it","Favorite","Like it very much","Favorite","Like it very much","Like it","Like it","Like it","Like it very much","Favorite","students' test scores","","2018-08-23 10:46:18","public","","","129.186.251.31","1","1"
"597","Favorite","Don't like it that much","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","","","2018-08-23 10:46:27","public","","","129.186.251.31","1","1"
"598","Favorite","Like it very much","Like it","Like it","Like it very much","Like it","Like it","Like it","Like it","Don't like it that much","","","2018-08-23 10:47:07","public","","","129.186.252.53","1","1"
"599","Like it","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","Industry","production, quality control, reliability","2018-08-23 10:47:12","public","","","129.186.252.53","1","1"
"600","Don't like it that much","Favorite","Like it","Like it very much","Favorite","Like it very much","Like it","Like it very much","Like it very much","Favorite","Data generated at CSAFE","","2018-08-23 10:47:14","public","","","129.186.251.31","1","1"
"601","Favorite","Favorite","Like it","Don't like it that much","Like it","Like it","Don't like it that much","Like it very much","Don't like it that much","Like it","CSAFE","","2018-08-23 10:47:30","public","","","129.186.252.53","1","1"
"602","Don't like it that much","Favorite","Like it","Favorite","Like it","Don't like it that much","Like it","Like it very much","Like it very much","Favorite","psychology or social interaction data","For example, I once had a project involving speed dating data that was really fun! ","2018-08-23 10:47:47","public","","","129.186.252.53","1","1"
"603","Don't like it that much","Like it very much","Like it","Like it","Don't like it that much","Like it very much","Favorite","Favorite","Like it","Favorite","","","2018-08-23 10:48:21","public","","","129.186.252.53","1","1"
"604","Favorite","Favorite","Like it","Like it","Favorite","Favorite","Favorite","Favorite","Favorite","Favorite","","","2018-08-23 10:48:44","public","","","129.186.252.53","1","1"
"605","Like it","Like it very much","Favorite","Favorite","Like it","Like it","Like it","Like it very much","Like it very much","Favorite","","","2018-08-23 10:49:36","public","","","129.186.251.31","1","1"
"606","Like it","Favorite","Like it","Like it","Favorite","Like it","Like it very much","Like it","Favorite","Like it very much","","","2018-08-23 10:49:39","public","","","129.186.252.53","1","1"
"607","Don't like it that much","Like it very much","Don't like it that much","Don't like it that much","Don't like it that much","Favorite","Like it","Favorite","Favorite","Like it","Application with Computer Vision ","Classify the letters handwritten or in number plates. Detect traffic signs and lights for autonomous car using image data with computer vision application. ","2018-08-23 10:49:45","public","","","129.186.251.31","1","1"
"608","Don't like it that much","Like it very much","Like it","Like it very much","Like it","Favorite","Don't like it that much","Like it very much","Like it very much","Like it","USGS BISON  biodiversity data","https://bison.usgs.gov/#home

large aggregated plant/animal species sightings from many sources
","2018-08-23 10:54:44","public","","","129.186.253.102","1","1"
